id,content_type_id,codename,name
1,1,add_logentry,Can add log entry
2,1,change_logentry,Can change log entry
3,1,delete_logentry,Can delete log entry
4,2,add_permission,Can add permission
5,2,change_permission,Can change permission
6,2,delete_permission,Can delete permission
7,3,add_group,Can add group
8,3,change_group,Can change group
9,3,delete_group,Can delete group
10,4,add_contenttype,Can add content type
11,4,change_contenttype,Can change content type
12,4,delete_contenttype,Can delete content type
13,5,add_site,Can add site
14,5,change_site,Can change site
15,5,delete_site,Can delete site
16,6,add_flatpage,Can add flat page
17,6,change_flatpage,Can change flat page
18,6,delete_flatpage,Can delete flat page
19,7,add_user,Can add user
20,7,change_user,Can change user
21,7,delete_user,Can delete user
22,8,add_product,Can add product
23,8,change_product,Can change product
24,8,delete_product,Can delete product
25,9,add_magazine,Can add magazine
26,9,change_magazine,Can change magazine
27,9,delete_magazine,Can delete magazine
28,10,add_purchase,Can add purchase
29,10,change_purchase,Can change purchase
30,10,delete_purchase,Can delete purchase
31,11,add_subject,Can add subject
32,11,change_subject,Can change subject
33,11,delete_subject,Can delete subject
34,12,add_thread,Can add thread
35,12,change_thread,Can change thread
36,12,delete_thread,Can delete thread
37,13,add_post,Can add post
38,13,change_post,Can change post
39,13,delete_post,Can delete post
40,14,add_poll,Can add poll
41,14,change_poll,Can change poll
42,14,delete_poll,Can delete poll
43,15,add_pollsubject,Can add poll subject
44,15,change_pollsubject,Can change poll subject
45,15,delete_pollsubject,Can delete poll subject
46,16,add_vote,Can add vote
47,16,change_vote,Can change vote
48,16,delete_vote,Can delete vote
49,17,add_paypalipn,Can add PayPal IPN
50,17,change_paypalipn,Can change PayPal IPN
51,17,delete_paypalipn,Can delete PayPal IPN
52,18,add_todo,Can add todo
53,18,change_todo,Can change todo
54,18,delete_todo,Can delete todo
55,19,add_session,Can add session
56,19,change_session,Can change session
57,19,delete_session,Can delete session
